id,title,danceability,energy,key,loudness,tempo,time_signature
44,Comedy,0.676,0.461,1.0,-6.746,87.917,4.0
45,Ghost - Acoustic,0.42,0.166,1.0,-17.235,77.489,4.0
46,To Begin Again,0.438,0.359,0.0,-9.734,76.332,4.0
47,Can't Help Falling In Love,0.266,0.0596,0.0,-18.515,181.74,3.0
48,Hold On,0.618,0.443,2.0,-9.681,119.949,4.0
49,Days I Will Remember,0.688,0.481,6.0,-8.807,98.017,4.0
50,Say Something,0.407,0.147,2.0,-8.822,141.284,3.0
51,I'm Yours,0.703,0.444,11.0,-9.331,150.96,4.0
52,Lucky,0.625,0.414,0.0,-8.7,130.088,4.0
53,Hunger,0.442,0.632,1.0,-6.77,78.899,4.0
54,Give Me Your Forever,0.627,0.363,8.0,-8.127,99.905,4.0
55,I Won't Give Up,0.483,0.303,4.0,-10.058,133.406,3.0
56,Solo,0.489,0.314,7.0,-9.245,124.234,4.0
57,Bad Liar,0.691,0.234,3.0,-6.441,87.103,4.0
58,Hold On - Remix,0.755,0.78,2.0,-6.084,120.004,4.0
59,Falling in Love at a Coffee Shop,0.489,0.561,4.0,-7.933,83.457,3.0
60,ily (i love you baby),0.706,0.112,2.0,-18.098,110.154,4.0
61,At My Worst,0.795,0.0841,10.0,-18.09,91.803,4.0
63,Photograph,0.717,0.32,3.0,-8.393,107.946,4.0
65,Demons,0.678,0.351,0.0,-8.654,90.032,4.0
67,93 Million Miles,0.572,0.454,3.0,-10.286,140.182,4.0
68,Unlonely,0.796,0.667,5.0,-4.831,97.988,4.0
69,Bella Luna,0.755,0.454,9.0,-9.609,120.06,4.0
70,Winter Wonderland,0.62,0.309,5.0,-9.209,145.363,4.0
71,If It Kills Me,0.633,0.429,4.0,-6.784,143.793,4.0
76,All I Want For Christmas Is A Real Good Tan,0.593,0.455,6.0,-8.192,202.019,4.0
77,Party of One,0.296,0.206,0.0,-11.799,165.4,4.0
80,Lonely This Christmas,0.409,0.153,6.0,-10.74,85.262,4.0
81,Throwing Good After Bad,0.501,0.0952,2.0,-12.931,138.016,4.0
82,This Time Tomorrow,0.606,0.326,10.0,-10.031,91.626,4.0
84,The Haves,0.474,0.519,7.0,-5.291,151.832,4.0
85,When You're Wrong,0.568,0.301,10.0,-10.163,88.029,4.0
86,You and Me on the Rock,0.568,0.686,1.0,-6.635,172.075,4.0
88,"Speak Your Mind (From the Netflix Series ""We The People"")",0.476,0.666,6.0,-3.438,148.155,4.0
94,Trampoline - Acoustic,0.596,0.2,0.0,-10.424,107.893,4.0
95,透明だった世界,0.373,0.914,0.0,-4.185,168.21,4.0
96,Pieces,0.494,0.652,6.0,-5.863,137.018,4.0
97,A Drop in the Ocean,0.447,0.393,5.0,-8.65,73.139,3.0
98,So Far Away - Acoustic,0.576,0.331,6.0,-9.389,149.02,4.0
99,The Enemy,0.536,0.89,1.0,-5.222,121.974,4.0
100,Build It Better,0.526,0.333,4.0,-13.02,94.951,4.0
101,Sleepwalking in the Rain,0.501,0.381,0.0,-9.448,80.075,4.0
102,Gravity,0.27,0.275,0.0,-10.357,168.964,4.0
103,What's Left of You,0.731,0.507,0.0,-6.477,117.969,4.0
104,Pano,0.375,0.457,3.0,-7.018,174.839,3.0
105,Sky's Still Blue,0.43,0.791,6.0,-5.419,171.864,4.0
106,And I Love Her,0.616,0.282,1.0,-15.317,96.638,4.0
107,We Can't Stop,0.705,0.347,2.0,-8.249,80.057,4.0
108,Always Be My Baby,0.582,0.255,4.0,-10.254,139.884,4.0
109,Alone with You,0.549,0.274,1.0,-12.565,86.664,4.0
110,Making All Things New,0.787,0.355,0.0,-11.429,99.978,4.0
111,She Used To Be Mine,0.397,0.303,5.0,-7.508,81.05,4.0
112,In My Veins - Feat. Erin Mccarley,0.548,0.42,0.0,-7.842,128.012,4.0
113,I Don't Wanna Live Forever (Fifty Shades Darker),0.787,0.403,0.0,-11.989,118.042,4.0
114,A Drop In the Ocean,0.484,0.573,5.0,-6.183,139.966,3.0
115,Superman (It's Not Easy),0.382,0.416,0.0,-9.303,102.089,4.0
116,When the End Comes,0.541,0.575,9.0,-9.463,91.98,4.0
117,You're Still The One,0.607,0.473,2.0,-8.555,119.698,4.0
118,Light Me Up,0.417,0.595,6.0,-7.84,147.928,4.0
120,Kaleidoscope,0.709,0.913,7.0,-5.148,108.024,4.0
121,The Long Road,0.537,0.342,2.0,-13.553,109.236,4.0
122,What Would I Do Without You,0.602,0.336,8.0,-11.106,90.894,4.0
123,Have It All,0.643,0.638,1.0,-4.947,82.001,4.0
124,Heavy Heart,0.451,0.7,10.0,-6.597,150.055,4.0
125,The House We Never Built,0.546,0.391,2.0,-10.786,139.669,4.0
126,Society,0.561,0.327,11.0,-10.835,161.858,4.0
127,Please Don't Say You Love Me,0.479,0.541,0.0,-9.862,85.994,4.0
129,Guaranteed,0.436,0.4,7.0,-11.485,100.734,4.0
130,Brave,0.551,0.836,10.0,-3.838,185.063,4.0
133,Heaven Knows,0.6,0.845,10.0,-7.076,97.631,4.0
134,I Heard The Bells On Christmas Day,0.492,0.145,2.0,-14.504,90.078,4.0
136,Fairytale Of New York,0.447,0.555,2.0,-6.018,117.888,3.0
142,Hold On,0.661,0.937,4.0,-5.157,105.549,4.0
143,Suddenly I See,0.603,0.78,0.0,-5.531,100.499,4.0
144,Rain,0.626,0.655,9.0,-6.69,92.003,4.0
145,Somebody Else - Acoustic,0.794,0.38,10.0,-8.769,114.99,4.0
146,Pieces (Hushed),0.52,0.279,5.0,-10.739,69.642,4.0
147,Mirrors,0.545,0.658,1.0,-7.174,76.971,4.0
148,Stand by Me,0.728,0.266,8.0,-7.322,115.189,4.0
149,Losing Me,0.66,0.407,7.0,-8.381,133.86,4.0
150,なんでもないや - movie ver.,0.357,0.161,8.0,-10.667,83.449,4.0
151,You’re Beautiful - Acoustic,0.479,0.154,2.0,-11.282,147.207,4.0
152,Hikare Inochi,0.592,0.769,2.0,-5.268,102.033,4.0
153,How To Lose a Girl,0.7,0.454,7.0,-10.39,80.011,3.0
154,Can’t Help Falling in Love,0.402,0.197,5.0,-10.775,100.044,3.0
155,Dive Deep (Hushed),0.507,0.378,9.0,-9.019,135.86,4.0
156,When the Party's over (Acoustic Piano),0.619,0.226,4.0,-13.453,124.96,3.0
157,Boston,0.404,0.571,0.0,-5.069,147.01,4.0
158,Living in the Shadows,0.418,0.79,4.0,-6.599,175.975,4.0
159,In Case You Didn’t Know,0.633,0.299,11.0,-7.798,147.549,4.0
160,death bed (coffee for your head),0.565,0.0392,1.0,-28.276,125.399,4.0
161,You Are My Sunshine,0.664,0.0755,10.0,-19.836,80.004,1.0
162,I Won't Give Up,0.585,0.303,4.0,-10.058,136.703,3.0
163,I Was Born To Love You,0.65,0.271,9.0,-11.081,78.036,4.0
164,Only Love Can Hurt Like This,0.534,0.213,1.0,-8.64,98.385,4.0
165,Mr Blue,0.456,0.386,10.0,-10.293,165.733,4.0
166,Do Not Let Me Go,0.409,0.234,3.0,-13.711,139.832,4.0
167,Holding On And Letting Go,0.502,0.53,2.0,-9.573,78.046,4.0
168,You Already Know,0.496,0.117,0.0,-12.884,78.068,4.0
169,Believer (Remix),0.585,0.724,1.0,-6.513,187.484,3.0
170,Collide - Acoustic Version,0.582,0.253,10.0,-11.43,90.186,4.0
171,Love Like This,0.637,0.14,2.0,-11.472,139.78,4.0
172,Come On Get Higher,0.672,0.623,9.0,-5.699,92.018,4.0
173,"""Something In the Rain"" (Something In the Rain, Pt. 1) [Music from the Original TV Series]",0.422,0.272,4.0,-10.772,143.413,4.0
174,Kiss Me Slowly,0.47,0.801,9.0,-6.426,173.92,4.0
175,Without You,0.564,0.864,4.0,-5.121,95.984,4.0
176,Absolutely Zero,0.521,0.495,5.0,-7.756,135.061,4.0
177,Sleep All Day,0.616,0.81,2.0,-6.51,97.994,4.0
178,You and I Both,0.615,0.812,7.0,-6.573,98.954,4.0
179,Long Nights,0.478,0.305,5.0,-13.062,108.66,4.0
181,Suddenly I See,0.587,0.767,0.0,-5.713,100.38,4.0
182,Who Needs Shelter,0.514,0.569,6.0,-7.866,142.597,4.0
183,No Stopping Us,0.646,0.836,1.0,-6.203,105.991,4.0
184,I'll Do Anything,0.57,0.711,9.0,-4.155,163.117,4.0
185,Make You Feel My Love,0.678,0.199,9.0,-9.785,72.006,4.0
186,The Remedy (I Won't Worry),0.589,0.867,10.0,-4.523,94.52,4.0
187,Too Much Food,0.626,0.926,2.0,-4.441,99.997,4.0
188,The Boy's Gone,0.686,0.556,1.0,-8.5,112.997,4.0
189,"On Love, in Sadness",0.56,0.832,9.0,-5.595,100.957,4.0
190,Curbside Prophet,0.619,0.793,5.0,-5.964,177.991,4.0
191,"Tonight, Not Again - Live",0.56,0.278,3.0,-12.501,102.187,4.0
192,"Tonight, Not Again",0.595,0.805,8.0,-7.926,102.44,4.0
193,Hard Sun,0.438,0.827,8.0,-6.531,143.377,4.0
194,Here with Me,0.582,0.375,1.0,-13.277,129.909,4.0
195,The Scientist,0.453,0.295,7.0,-12.881,146.022,4.0
196,Collide,0.636,0.625,11.0,-7.895,93.931,4.0
197,get better,0.639,0.201,7.0,-16.613,88.107,4.0
198,Sympathy,0.69,0.423,2.0,-9.194,130.121,4.0
199,Let It Go,0.599,0.349,1.0,-9.269,147.913,4.0
200,What You Need,0.519,0.264,0.0,-11.171,140.354,4.0
201,100 Years,0.643,0.569,7.0,-7.459,120.507,4.0
202,You're the Sea,0.573,0.624,1.0,-9.076,161.025,4.0
203,No Direction,0.654,0.821,7.0,-5.472,111.958,4.0
204,Belong,0.426,0.399,0.0,-8.447,115.979,4.0
205,As It Was,0.505,0.21,11.0,-11.349,80.721,4.0
206,I'm Yours,0.693,0.43,11.0,-9.395,151.001,4.0
207,Chi Mai,0.739,0.287,6.0,-14.007,80.64,4.0
208,Say Something,0.453,0.146,2.0,-8.976,137.905,3.0
209,Had It All,0.606,0.54,7.0,-6.271,79.952,4.0
210,Take Me Back ft. Yonnyboii,0.595,0.646,0.0,-5.495,120.049,4.0
211,Whole Again - Acoustic Version,0.736,0.145,11.0,-9.215,129.832,4.0
212,Overpass Graffiti,0.479,0.126,1.0,-13.974,96.327,4.0
213,Love Song,0.583,0.786,2.0,-3.142,123.055,4.0
214,Let Her Go,0.549,0.291,2.0,-13.457,75.153,4.0
215,Brighter Than Sunshine,0.418,0.489,6.0,-8.373,72.891,4.0
216,Love Story,0.498,0.12,0.0,-17.721,121.187,4.0
217,Mujer con Abanico,0.769,0.135,5.0,-12.049,103.939,4.0
218,In the Shadows,0.434,0.469,0.0,-7.849,136.282,4.0
219,Can You Feel the Love Tonight,0.452,0.198,10.0,-9.374,119.499,4.0
220,The Story,0.544,0.5,11.0,-8.253,93.621,4.0
221,Better,0.662,0.187,2.0,-9.003,104.988,4.0
222,Iris,0.497,0.13,6.0,-15.571,130.769,3.0
223,Rockabye - Acoustic Version,0.528,0.291,10.0,-9.696,76.805,4.0
224,I Need You More Today,0.461,0.522,11.0,-7.513,157.768,4.0
225,Beautiful Soul,0.483,0.506,9.0,-6.058,87.337,4.0
226,Let's See What The Night Can Do,0.392,0.423,7.0,-7.813,113.537,4.0
227,"La La La (Something In the Rain, Pt. 2) [Music from the Original TV Series]",0.42,0.2,7.0,-18.827,87.248,4.0
228,Forever And Always,0.657,0.716,2.0,-5.675,93.924,4.0
229,Fine On The Outside,0.495,0.185,9.0,-13.824,101.89,4.0
230,Tortured Soul,0.55,0.499,4.0,-9.502,86.966,1.0
231,I Believe in You,0.534,0.359,0.0,-9.311,131.804,4.0
232,At Home,0.378,0.52,11.0,-10.965,73.744,4.0
233,"Portland, Maine",0.606,0.349,4.0,-13.967,80.071,4.0
234,Holding On and Letting Go,0.486,0.555,2.0,-9.466,77.987,4.0
